ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen
09__7__1,16,7,0.2957335388535191,0.2957335388535191,0.295733538853519,0.2993135502621047,0.2993135502621047,0.3163237987594233,0.3681964616904603,0.3681964616904603,0.3172780424677765,2.290109872817993,3.27840256690979,6.825323581695557,0.0,0.001000165939331,0.0,0.0,0.0009989738464355,0.0009994506835937,103,100,101
10__5__0,39,5,3.173308663868492,3.4645095592317525,3.173308663868487,3.920057536581972,3.920057536581972,4.543909215889537,6.787014978197295,6.787014978197295,6.787014978197295,7.73741602897644,9.510364532470703,31.99278450012207,0.0,0.0,0.0,0.0009989738464355,0.0,0.0009984970092773,123,119,108
10__5__1,39,5,3.173308663868492,3.4645095592317525,3.173308663868488,3.920057536581972,3.920057536581972,4.543909215889537,5.239310046314346,4.574479990076853,5.239310046314346,7.875327348709106,8.159294366836548,29.35296654701233,0.000920295715332,0.0010092258453369,0.0009896755218505,0.0010395050048828,0.0072677135467529,0.0019230842590332,129,109,104
10__7__0,39,7,2.5939409392616275,2.5939409392616275,2.261643285647434,2.593940939261628,2.593940939261628,3.1959561397592973,6.787014978197295,6.787014978197295,6.787014978197295,5.939972639083862,9.149730920791626,33.01956820487976,0.0013105869293212,0.0010304450988769,0.0,0.0,0.0010712146759033,0.0,107,111,127
10__7__1,39,7,2.421346098883973,2.5939409392616275,2.261643285647435,2.593940939261628,2.593940939261628,3.1959561397592973,4.051680590056353,4.164483865709574,4.264995749071788,7.342953443527222,9.960765361785889,34.43630766868591,0.0009949207305908,0.0009994506835937,0.0010004043579101,0.0009992122650146,0.001997947692871,0.0039997100830078,125,116,133
10__10__0,39,10,1.2640967898567472,1.2640967898567468,1.2640967898567457,1.677809979261416,1.4985276856266152,2.089422542458682,6.787014978197295,6.787014978197295,6.787014978197295,8.890706539154053,12.17145538330078,29.461475610733032,0.0010004043579101,0.0009989738464355,0.0011205673217773,0.000502586364746,0.0010280609130859,0.0,188,136,127
10__10__1,39,10,1.2640967898567472,1.2640967898567468,1.264096789856746,1.677809979261416,1.4985276856266152,2.089422542458682,2.829969302389985,2.5726173164067614,2.813037035403231,6.271119117736816,11.291782140731812,37.88448762893677,0.0,0.0009553432464599,0.0,0.0010640621185302,0.0039064884185791,0.0030708312988281,138,130,126
11__5__0,46,5,1.7488718182842704,1.7488718182842695,1.7488718182842686,1.8088329870787083,1.9738278042780908,2.1478649028005248,5.537017775337285,5.537017775337285,5.537017775337285,8.003321647644043,10.307110071182253,41.61892986297608,0.0009944438934326,0.0010020732879638,0.0,0.0009989738464355,0.0,0.0,115,112,125
11__5__1,46,5,1.7488718182842704,1.7488718182842695,1.7488718182842686,1.8088329870787083,1.9738278042780908,2.1478649028005248,3.162230185718549,2.5751766012335544,2.4750252097417538,7.053451776504517,9.592880249023438,47.41299462318421,0.0022375583648681,0.0019981861114501,0.0009865760803222,0.0018982887268066,0.0070822238922119,0.007009744644165,109,117,108
11__7__0,46,7,1.281627387002585,1.281627387002584,1.2816273870025838,1.394318259156052,1.4074718087490483,1.5125010511340975,5.537017775337285,5.537017775337285,5.537017775337285,6.577524423599243,10.179766654968262,28.816893339157104,0.0009307861328125,0.0010685920715332,0.0,0.0004472732543945,0.0,0.0,125,122,107
11__7__1,46,7,1.3649155438293707,1.281627387002584,1.2816273870025838,1.394318259156052,1.4074718087490483,1.5125010511340975,1.8526831832257995,1.8526831832257995,1.8526831832257995,6.472593307495117,9.521127223968506,29.924691438674927,0.001000165939331,0.0009655952453613,0.0010480880737304,0.0009832382202148,0.0010051727294921,0.0019993782043457,125,115,109
11__10__0,46,10,0.9248178973429863,0.9248178973429857,0.9248178973429857,1.0375087694964535,1.0039989222616277,1.0839756738126867,5.537017775337285,5.537017775337285,5.537017775337285,5.94543194770813,11.156891584396362,29.30673837661743,0.0010008811950683594,0.0009996891021728516,0.0010695457458496094,0.001008749008178711,0.000993967056274414,0.0,131,124,117
11__10__1,46,10,0.9248178973429863,0.9248178973429857,0.9248178973429856,1.0375087694964535,1.0039989222616277,1.0839756738126867,1.2521128043886174,1.2521128043886174,1.2232032927250236,6.829315423965454,10.638877630233765,28.11412215232849,0.0010259151458740234,0.0009014606475830078,0.0,0.0,0.0009469985961914062,0.0019767284393310547,153,118,112
12__10__0,81,10,3.4189513324830916,3.380120599841281,3.252404489173328,3.477866553609731,3.4601299618251526,3.5848184523247903,6.343353475247696,6.481125765837697,6.560379680668946,29.809178590774536,56.42324256896973,154.88841557502747,0.0030012130737304688,0.00407099723815918,0.0010128021240234375,0.00398707389831543,0.029425859451293945,0.004013776779174805,189,251,217
