ID,N,K,mst_brkga__f,st_brkga__f,greedy_brkga__f,skater__f,redcap__f,schc__f,azp_greedy__f,azp_sa__f,azp_tabu__f,mst_brkga__time,st_brkga__time,greedy_brkga__time,skater__time,redcap__time,schc__time,azp_greedy__time,azp_sa__time,azp_tabu__time,mst_brkga__last_gen,st_brkga__last_gen,greedy_brkga__last_gen
26__15__0,72,15,3.786806297,3.876167802,3.766020085,4.173920642,4.232794201,4.086738431,13.29267726,13.29267726,13.29267726,17.68817568,35.61772585,119.7605104,0.000991583,0.001001358,0.0,0.000999451,0.001000166,0.000998735,213,185,224
26__15__1,72,15,3.77976103,3.813383079,3.810749291,4.173920642,4.232794201,4.086738431,5.045408745,4.631794975,5.761720834,13.49403214,45.32276368,81.17491579,0.005001783,0.001977682,0.00100255,0.002017736,0.013610125,0.009001732,159,219,155
26__20__0,72,20,2.850282764,2.917230951,2.850553264,3.124253332,3.005525838,3.03540977,13.29267726,13.29267726,13.29267726,22.36674213,55.70695901,116.9346843,0.002007246,0.002020597,0.000993967,0.000999689,0.001000166,0.000999212,337,249,246
26__20__1,72,20,2.909191677,2.968042796,2.785770037,3.124253332,3.005525838,3.03540977,4.449289179,3.541095172,4.194143895,20.47145963,50.61000919,141.8974059,0.002007723,0.002016068,0.000464678,0.001781702,0.013055563,0.008943081,286,229,300
27__3__0,17,3,0.737011891,0.737011891,0.737011891,0.737011891,0.737011891,0.805509616,1.308198736,1.42916353,1.246754785,2.352813244,2.493688345,7.928222179,0.0,0.0,0.0,0.0,0.0,0.0,101,100,100
27__3__1,17,3,0.737011891,0.737011891,0.737011891,0.737011891,0.737011891,0.805509616,1.392052083,0.99617816,0.99617816,2.345611095,2.504455566,8.05600667,0.001003742,0.0,0.0,0.000989676,0.0,0.001004934,101,101,100
27__5__0,17,5,0.333977156,0.333977156,0.333977156,0.333977156,0.333977156,0.337460125,1.308198736,1.42916353,1.266851761,2.084974051,2.652070045,6.850352526,0.0,0.0,0.0,0.001006603,0.0,0.00100708,103,102,100
27__5__1,17,5,0.333977156,0.333977156,0.333977156,0.333977156,0.333977156,0.337460125,0.596072546,0.333977156,0.596072546,2.093253136,2.579026937,6.892612219,0.001003265,0.0,0.0,0.000938416,0.0,0.001051188,101,100,100
27__7__0,17,7,0.209270773,0.209270773,0.209270773,0.21736433,0.21736433,0.211536516,1.308198736,1.42916353,1.266851761,2.057825804,2.910193205,6.607920408,0.001016617,0.0,0.0,0.001004696,0.0,0.001003027,104,103,104
27__7__1,17,7,0.209270773,0.209270773,0.209270773,0.21736433,0.21736433,0.211536516,0.226461947,0.226461947,0.226461947,2.103936195,2.960360765,6.573521376,0.0,0.0,0.0,0.0,0.000998735,0.0,105,105,105
28__5__0,43,5,4.222217895,4.176153271,4.176153271,4.429521855,4.979557744,4.577138048,8.594063395,7.998345652,8.557412445,7.938512802,9.829878092,26.89749622,0.0,0.001000404,0.000999689,0.0,0.005000591,0.0,154,136,111
28__5__1,43,5,4.222217895,4.274544456,4.176153271,4.429521855,4.979557744,4.577138048,4.990257903,4.870667208,4.990257903,9.222066164,7.368882418,26.76042223,0.0010221,0.0,0.0,0.000982046,0.000999212,0.001043081,181,109,115
28__7__0,43,7,3.292258351,3.292258351,3.292258351,3.44723575,3.990317922,3.703210586,8.594063395,7.998345652,8.557412445,5.508395195,9.221241713,25.42756033,0.0,0.000994444,0.000991821,0.0,0.00399971,0.0,116,127,116
28__7__1,43,7,3.292258351,3.292258351,3.292258351,3.44723575,3.990317922,3.703210586,4.59217594,4.659732733,4.59217594,5.982074976,8.306439161,24.89967847,0.0,0.000998735,0.0,0.001000166,0.002001286,0.001072645,128,115,113
28__10__0,43,10,2.374022546,2.374022546,2.297143627,2.257239028,2.638195091,2.297143627,8.594063395,7.998345652,8.557412445,5.119103909,10.66646719,25.01335001,0.001003265,0.000916958,0.000994444,0.001073599,0.003998756,0.0,127,133,120
28__10__1,43,10,2.257239028,2.374022546,2.297143627,2.257239028,2.638195091,2.297143627,3.413409385,2.750110984,3.293977681,5.586168289,9.7204988,25.47336292,0.0,0.00010252,0.0,0.001004457,0.003000021,0.002998829,132,118,122
29__10__0,60,10,1.915712579,1.962397659,2.005260147,1.915712579,2.200532135,2.109054082,5.862747427,8.199553174,5.894643381,11.03795409,20.03748417,62.11260986,0.000926495,0.000938177,0.000982046,0.00154376,0.001025438,0.007005692,142,151,137
29__10__1,60,10,1.894217882,1.989152345,1.940902962,1.915712579,2.200532135,2.109054082,3.472810774,3.39379278,3.472681945,12.92089987,27.13693953,80.61443543,0.000987053,0.001997471,0.0,0.001000404,0.004997969,0.006999731,170,206,183
29__15__0,60,15,1.195488433,1.195488433,1.195488433,1.297118311,1.257371312,1.204626598,5.862747427,8.199553174,5.894643381,10.00689507,37.65220094,48.58697653,0.000987768,0.0020082,0.001004696,0.001985788,0.001001358,0.00800252,163,239,123
29__15__1,60,15,1.170144689,1.195488433,1.170144689,1.297118311,1.257371312,1.204626598,2.749722581,2.682249051,2.324179677,9.969844341,28.32928205,75.93515706,0.000982761,0.00300312,0.000996113,0.001000166,0.003999233,0.007126808,165,179,188
29__20__0,60,20,0.708173627,0.708173627,0.708173627,0.784681002,0.781492713,0.766201955,5.862747427,8.199553174,5.894643381,8.42461729,29.02584767,51.19896889,0.000926733,0.002086401,0.0,0.001917124,0.001003504,0.008996248,158,158,144
29__20__1,60,20,0.708173627,0.708173627,0.708173627,0.784681002,0.781492713,0.766201955,2.174251653,1.845013397,1.031499825,8.530273199,28.79002833,73.24692011,0.001998186,0.001999617,0.0,0.000999451,0.003998995,0.007006645,161,158,207
01__3__0,11,3,0.3435719495973938,0.34357194959739373,0.34357194959739373,0.41091259891546067,0.41091259891546067,0.3435719495973938,1.3142279309301472,1.3142279309301472,1.3142279309301472,1.767937183380127,1.8740410804748535,5.610551834106445,0.0,0.0,0.0,0.0,0.0,0.0009996891021728516,100,100,100
